Date,Close,Index,Month,Returns (%)
2008-03-01,1322.699951171875,S&P 500,March,-0.5959623397817415
2008-04-01,1385.5899658203125,S&P 500,April,4.75466976412291
2008-05-01,1400.3800048828125,S&P 500,May,1.067418170406853
2008-06-01,1280.0,S&P 500,June,-8.596238482631446
2008-07-01,1267.3800048828125,S&P 500,July,-0.9859371185302779
2008-08-01,1282.8299560546875,S&P 500,August,1.2190464669121548
2008-09-01,1166.3599853515625,S&P 500,September,-9.079143354379216
2008-10-01,968.75,S&P 500,October,-16.942452401777075
2008-11-01,896.239990234375,S&P 500,November,-7.484904233870971
2008-12-01,903.25,S&P 500,December,0.7821576633499472
2009-01-01,825.8800048828125,S&P 500,January,-8.565734305805428
2009-02-01,735.0900268554688,S&P 500,February,-10.993119762019942
2009-03-01,797.8699951171875,S&P 500,March,8.540446199532292
2009-04-01,872.8099975585938,S&P 500,April,9.392507914826332
2009-05-01,919.1400146484375,S&P 500,May,5.308144638516654
2009-06-01,919.3200073242188,S&P 500,June,0.019582726560996022
2009-07-01,987.47998046875,S&P 500,July,7.414172714778422
2009-08-01,1020.6199951171875,S&P 500,August,3.356018886854417
2009-09-01,1057.0799560546875,S&P 500,September,3.5723345723119637
2009-10-01,1036.18994140625,S&P 500,October,-1.9762000526814205
2009-11-01,1095.6300048828125,S&P 500,November,5.736406145372763
2009-12-01,1115.0999755859375,S&P 500,December,1.7770570919338313
2010-01-01,1073.8699951171875,S&P 500,January,-3.6974245692262153
2010-02-01,1104.489990234375,S&P 500,February,2.8513689046546054
2010-03-01,1169.4300537109375,S&P 500,March,5.8796425545497355
2010-04-01,1186.68994140625,S&P 500,April,1.4759230482012997
2010-05-01,1089.4100341796875,S&P 500,May,-8.197584207319053
2010-06-01,1030.7099609375,S&P 500,June,-5.388244223983851
2010-07-01,1101.5999755859375,S&P 500,July,6.8777849574635175
2010-08-01,1049.3299560546875,S&P 500,August,-4.744918363260475
2010-09-01,1141.199951171875,S&P 500,September,8.755110305113556
2010-10-01,1183.260009765625,S&P 500,October,3.685599403554063
2010-11-01,1180.550048828125,S&P 500,November,-0.22902497465766558
2010-12-01,1257.6400146484375,S&P 500,December,6.530004034715509
2011-01-01,1286.1199951171875,S&P 500,January,2.2645574359139164
2011-02-01,1327.219970703125,S&P 500,February,3.1956563728093412
2011-03-01,1325.8299560546875,S&P 500,March,-0.10473129391664893
2011-04-01,1363.6099853515625,S&P 500,April,2.8495380666536008
2011-05-01,1345.199951171875,S&P 500,May,-1.350095289522324
